onset	duration	trial_type	value	sample
7.407	0.0	shape/rustedHinge/reference	64	7407
8.423	0.0	shape/rustedHinge/reference	64	8423
9.423	0.0	shape/rustedHinge/reference	64	9423
10.423	0.0	shape/rustedHinge/reference	64	10423
11.406	0.0	shape/rustedHinge/reference	64	11406
12.405	0.0	shape/rustedHinge/reference	64	12405
13.438	0.0	shape/rustedHinge/outlier/4	68	13438
14.438	0.0	shape/rustedHinge/reference	64	14438
15.421	0.0	shape/rustedHinge/reference	64	15421
16.42	0.0	shape/rustedHinge/reference	64	16420
17.42	0.0	shape/rustedHinge/reference	64	17420
18.42	0.0	shape/rustedHinge/reference	64	18420
19.419	0.0	shape/rustedHinge/reference	64	19419
20.452	0.0	shape/rustedHinge/reference	64	20452
21.435	0.0	shape/rustedHinge/reference	64	21435
22.451	0.0	shape/rustedHinge/reference	64	22451
23.451	0.0	shape/rustedHinge/outlier/1	65	23451
24.451	0.0	shape/rustedHinge/reference	64	24451
25.434	0.0	shape/rustedHinge/reference	64	25434
26.45	0.0	shape/rustedHinge/reference	64	26450
27.433	0.0	shape/rustedHinge/reference	64	27433
28.466	0.0	shape/rustedHinge/reference	64	28466
29.465	0.0	shape/rustedHinge/reference	64	29465
30.465	0.0	shape/rustedHinge/outlier/2	66	30465
31.465	0.0	shape/rustedHinge/reference	64	31465
32.464	0.0	shape/rustedHinge/reference	64	32464
33.464	0.0	shape/rustedHinge/reference	64	33464
34.447	0.0	shape/rustedHinge/reference	64	34447
35.463	0.0	shape/rustedHinge/outlier/3	67	35463
36.479	0.0	shape/rustedHinge/reference	64	36479
37.479	0.0	shape/parallelogram/reference	32	37479
38.479	0.0	shape/parallelogram/reference	32	38479
39.478	0.0	shape/parallelogram/reference	32	39478
40.478	0.0	shape/parallelogram/reference	32	40478
41.477	0.0	shape/parallelogram/reference	32	41477
42.477	0.0	shape/parallelogram/reference	32	42477
43.477	0.0	shape/parallelogram/reference	32	43477
44.493	0.0	shape/parallelogram/reference	32	44493
45.476	0.0	shape/parallelogram/reference	32	45476
46.492	0.0	shape/parallelogram/reference	32	46492
47.492	0.0	shape/parallelogram/reference	32	47492
48.525	0.0	shape/parallelogram/reference	32	48525
49.508	0.0	shape/parallelogram/reference	32	49508
50.507	0.0	shape/parallelogram/outlier/1	33	50507
51.507	0.0	shape/parallelogram/reference	32	51507
52.523	0.0	shape/parallelogram/reference	32	52523
53.523	0.0	shape/parallelogram/reference	32	53523
54.522	0.0	shape/parallelogram/reference	32	54522
55.522	0.0	shape/parallelogram/reference	32	55522
56.522	0.0	shape/parallelogram/outlier/2	34	56522
57.505	0.0	shape/parallelogram/reference	32	57505
58.504	0.0	shape/parallelogram/reference	32	58504
59.504	0.0	shape/parallelogram/reference	32	59504
60.537	0.0	shape/parallelogram/reference	32	60537
61.52	0.0	shape/parallelogram/reference	32	61520
62.519	0.0	shape/parallelogram/reference	32	62519
63.519	0.0	shape/parallelogram/outlier/4	36	63519
64.519	0.0	shape/parallelogram/reference	32	64519
65.518	0.0	shape/parallelogram/reference	32	65518
66.518	0.0	shape/parallelogram/outlier/3	35	66518
67.517	0.0	shape/random/reference	88	67517
68.55	0.0	shape/random/reference	88	68550
69.533	0.0	shape/random/reference	88	69533
70.533	0.0	shape/random/reference	88	70533
71.549	0.0	shape/random/reference	88	71549
72.549	0.0	shape/random/reference	88	72549
73.532	0.0	shape/random/outlier/1	89	73532
74.548	0.0	shape/random/reference	88	74548
75.548	0.0	shape/random/reference	88	75548
76.564	0.0	shape/random/reference	88	76564
77.564	0.0	shape/random/outlier/2	90	77564
78.547	0.0	shape/random/reference	88	78547
79.546	0.0	shape/random/reference	88	79546
80.546	0.0	shape/random/reference	88	80546
81.562	0.0	shape/random/reference	88	81562
82.562	0.0	shape/random/reference	88	82562
83.578	0.0	shape/random/reference	88	83578
84.578	0.0	shape/random/reference	88	84578
85.577	0.0	shape/random/reference	88	85577
86.593	0.0	shape/random/reference	88	86593
87.576	0.0	shape/random/reference	88	87576
88.576	0.0	shape/random/outlier/4	92	88576
89.576	0.0	shape/random/reference	88	89576
90.575	0.0	shape/random/reference	88	90575
91.592	0.0	shape/random/reference	88	91592
92.575	0.0	shape/random/reference	88	92575
93.591	0.0	shape/random/outlier/3	91	93591
94.607	0.0	shape/random/reference	88	94607
95.59	0.0	shape/random/reference	88	95590
96.606	0.0	shape/random/reference	88	96606
97.606	0.0	shape/rightKite/reference	56	97606
98.606	0.0	shape/rightKite/reference	56	98606
99.622	0.0	shape/rightKite/reference	56	99622
100.621	0.0	shape/rightKite/reference	56	100621
